0:0:0:0:0:0:0:1 - - [14/Oct/2019:11:48:36 +0900] "GET /javascriptStudy/imagemoveEx.html HTTP/1.1" 200 747
0:0:0:0:0:0:0:1 - - [14/Oct/2019:11:49:04 +0900] "GET /javascriptStudy/imagemoveEx.html HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [14/Oct/2019:11:49:22 +0900] "GET /javascriptStudy/imagemoveEx.html HTTP/1.1" 200 743
0:0:0:0:0:0:0:1 - - [14/Oct/2019:11:49:34 +0900] "GET /javascriptStudy/imagemoveEx.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2019:11:49:55 +0900] "GET /javascriptStudy/imagemoveEx.html HTTP/1.1" 200 742
0:0:0:0:0:0:0:1 - - [14/Oct/2019:11:49:59 +0900] "GET /javascriptStudy/imagemoveEx.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2019:11:50:01 +0900] "GET /javascriptStudy/imagemoveEx.html HTTP/1.1" 200 743
0:0:0:0:0:0:0:1 - - [14/Oct/2019:11:50:03 +0900] "GET /javascriptStudy/imagemoveEx.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2019:11:50:05 +0900] "GET /javascriptStudy/imagemoveEx.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2019:11:50:05 +0900] "GET /javascriptStudy/imagemoveEx.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2019:11:50:16 +0900] "GET /javascriptStudy/imagemoveEx.html HTTP/1.1" 200 743
0:0:0:0:0:0:0:1 - - [14/Oct/2019:11:50:17 +0900] "GET /javascriptStudy/imagemoveEx.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2019:11:50:26 +0900] "GET /javascriptStudy/imagemoveEx.html HTTP/1.1" 200 742
0:0:0:0:0:0:0:1 - - [14/Oct/2019:11:50:33 +0900] "GET /javascriptStudy/imagemoveEx.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2019:11:50:34 +0900] "GET /javascriptStudy/imagemoveEx.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2019:11:50:35 +0900] "GET /javascriptStudy/imagemoveEx.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2019:11:50:35 +0900] "GET /javascriptStudy/imagemoveEx.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2019:11:50:36 +0900] "GET /javascriptStudy/imagemoveEx.html HTTP/1.1" 304 -
